region_id,region_name,area,population,map_file,map_index
Burundi,Burundi,,8988091,map_countries_africa,1
Republic of Congo,Republic of Congo,,4012809,map_countries_africa,9
Cameroon,Cameroon,,18879301,map_countries_africa,7
Burkina Faso,Burkina Faso,,15746232,map_countries_africa,3
Benin,Benin,,8791832,map_countries_africa,2
Cote d'Ivoire,Côte d'Ivoire,,20617068,map_countries_africa,6
Botswana,Botswana,,1990876,map_countries_africa,4
Central African Republic,Central African Republic,,4511488,map_countries_africa,5
Democratic Republic of the Congo,Democratic Republic of the Congo,,68692542,map_countries_africa,8
Angola,Angola,,12799293,map_countries_africa,0
Comoros,Comoros,,752438,map_countries_africa,10
Djibouti,Djibouti,,516055,map_countries_africa,12
Algeria,Algeria,,34178188,map_countries_africa,13
Cabo Verde,Cape Verde,,429474,map_countries_africa,11
Egypt,Egypt,,83082869,map_countries_africa,15
Eritrea,Eritrea,,5647168,map_countries_africa,14
Ethiopia,Ethiopia,,85237338,map_countries_africa,16
Gabon,Gabon,,1514993,map_countries_africa,17
Ghana,Ghana,,23832495,map_countries_africa,18
Guinea,Guinea,,10057975,map_countries_africa,19
Gambia,The Gambia,,1782893,map_countries_africa,20
Libya,Libya,,6310434,map_countries_africa,24
Guinea-Bissau,Guinea-Bissau,,1533964,map_countries_africa,21
Equatorial Guinea,Equatorial Guinea,,650702,map_countries_africa,22
Liberia,Liberia,,3441790,map_countries_africa,23
Kenya,Kenya,,39002772,map_countries_africa,25
Lesotho,Lesotho,,2130819,map_countries_africa,26
Morocco,Morocco,,34859364,map_countries_africa,27
Madagascar,Madagascar,,20653556,map_countries_africa,28
Mali,Mali,,12666987,map_countries_africa,29
Mozambique,Mozambique,,21669278,map_countries_africa,31
Mauritania,Mauritania,,3129486,map_countries_africa,30
Malawi,Malawi,,14268711,map_countries_africa,32
Namibia,Namibia,,2108665,map_countries_africa,33
Niger,Niger,,15306252,map_countries_africa,34
Nigeria,Nigeria,,149229090,map_countries_africa,35
Rwanda,Rwanda,,10473282,map_countries_africa,36
Western Sahara,Western Sahara,,582463,map_countries_africa,37
Sudan,Sudan,,25946220,map_countries_africa,38
South Sudan,South Sudan,,10625176,map_countries_africa,39
Senegal,Senegal,,13711597,map_countries_africa,40
Sierra Leone,Sierra Leone,,6440053,map_countries_africa,41
Somaliland,Somaliland,,3500000,map_countries_africa,42
Somalia,Somalia,,9832017,map_countries_africa,43
São Tomé and Principe,São Tomé and Principe,,212679,map_countries_africa,44
Eswatini,Swaziland,,1123913,map_countries_africa,45
Chad,Chad,,10329208,map_countries_africa,46
Togo,Togo,,6019877,map_countries_africa,47
Tunisia,Tunisia,,10486339,map_countries_africa,48
Tanzania,Tanzania,,41048532,map_countries_africa,50
Uganda,Uganda,,32369558,map_countries_africa,49
South Africa,South Africa,,49052489,map_countries_africa,51
Zambia,Zambia,,11862740,map_countries_africa,52
Zimbabwe,Zimbabwe,,12619600,map_countries_africa,53
EC,Eastern Cape,168966,6712276,map_provinces_za,0
FS,Free State,129825,2887465,map_provinces_za,1
GP,Gauteng Province,18178,15176115,map_provinces_za,2
KZN,Kwa-Zulu Natal,94361,11289086,map_provinces_za,3
LP,Limpopo,125754,5982584,map_provinces_za,4
MP,Mapumalanga,76495,4592187,map_provinces_za,5
NW,North-West Province,104882,4027160,map_provinces_za,7
NC,Northern Cape,372889,1263875,map_provinces_za,6
WC,Western Cape,129462,6844272,map_provinces_za,8
CT,City of Cape Town,2446,4140564,map_subdistricts_za,188
CT-EA,Eastern,429.65,621703,map_subdistricts_cpt,6
CT-KL,Khayelitsha,43.7,400753,map_subdistricts_cpt,0
CT-KF,Klipfontein,42.75,379924,map_subdistricts_cpt,2
CT-MP,Mitchells Plain,160,552050,map_subdistricts_cpt,1
CT-NO,Northern,631.8,419737,map_subdistricts_cpt,3
CT-SO,Southern,486.6,548581,map_subdistricts_cpt,7
CT-TB,Tygerberg,119.85,664555,map_subdistricts_cpt,4
CT-WE,Western,663.5,556260,map_subdistricts_cpt,5
WC-MZ,Matzikama,12981,72574,map_subdistricts_za,130
WC-CB,Cederberg,8007,54424,map_subdistricts_za,131
WC-BR,Bergrivier,4407,70772,map_subdistricts_za,132
WC-SB,Saldanha Bay,2015,118809,map_subdistricts_za,185
WC-SL,Swartland,3707,147111,map_subdistricts_za,186
CW-WB,Witzenberg,10753,143481,map_subdistricts_za,133
CW-DS,Drakenstein,1538,308299,map_subdistricts_za,134
CW-SB,Stellenbosch,831,191212,map_subdistricts_za,158
CW-BV,Breede Valley,3834,191888,map_subdistricts_za,135
CW-LB,Langeberg,4518,115269,map_subdistricts_za,136
