region_id,region_name,area,population,map_file,map_index
UNKNOWN,Unknown,,,,
EC,Eastern Cape,168966,6712276,map_provinces_za,0
FS,Free State,129825,2887465,map_provinces_za,1
GP,Gauteng Province,18178,15176115,map_provinces_za,2
KZN,Kwa-Zulu Natal,94361,11289086,map_provinces_za,3
LP,Limpopo,125754,5982584,map_provinces_za,4
MP,Mapumalanga,76495,4592187,map_provinces_za,5
NW,North-West Province,104882,4027160,map_provinces_za,7
NC,Northern Cape,372889,1263875,map_provinces_za,6
WC,Western Cape,129462,6844272,map_provinces_za,8
CPT,City of Cape Town,2446,4140564,map_subdistricts_za,188
CT Eastern SD,Eastern,429.65,621703,map_subdistricts_cpt,6
CT Khayelitsha SD,Khayelitsha,43.7,400753,map_subdistricts_cpt,0
CT Klipfontein SD,Klipfontein,42.75,379924,map_subdistricts_cpt,2
CT Mitchells Plain SD,Mitchells Plain,160,552050,map_subdistricts_cpt,1
CT Northern SD,Northern,631.8,419737,map_subdistricts_cpt,3
CT Southern SD,Southern,486.6,548581,map_subdistricts_cpt,7
CT Tygerberg SD,Tygerberg,119.85,664555,map_subdistricts_cpt,4
CT Western SD,Western,663.5,556260,map_subdistricts_cpt,5
WC011,Matzikama,12981,72574,map_subdistricts_za,130
WC012,Cederberg,8007,54424,map_subdistricts_za,131
WC013,Bergrivier,4407,70772,map_subdistricts_za,132
WC014,Saldanha Bay,2015,118809,map_subdistricts_za,185
WC015,Swartland,3707,147111,map_subdistricts_za,186
WC022,Witzenberg,10753,143481,map_subdistricts_za,133
WC023,Drakenstein,1538,308299,map_subdistricts_za,134
WC024,Stellenbosch,831,191212,map_subdistricts_za,158
WC025,Breede Valley,3834,191888,map_subdistricts_za,135
WC026,Langeberg,4518,115269,map_subdistricts_za,136
WC031,Theewaterskloof,3259,128104,map_subdistricts_za,159
WC032,Overstrand,1675,104424,map_subdistricts_za,187
WC033,Cape Agulhas,3471,39587,map_subdistricts_za,137
WC034,Swellendam,3835,44296,map_subdistricts_za,138
WC041,Kannaland,4765,24530,map_subdistricts_za,139
WC042,Hessequa,5733,56212,map_subdistricts_za,140
WC043,Mossel Bay,2001,97979,map_subdistricts_za,141
WC044,George,5191,217054,map_subdistricts_za,142
WC045,Oudtshoorn,3540,100246,map_subdistricts_za,143
WC047,Bitou,992,62369,map_subdistricts_za,144
WC048,Knysna,1109,77210,map_subdistricts_za,145
WC051,Laingsburg,8784,9247,map_subdistricts_za,146
WC052,Prince Albert,8153,14809,map_subdistricts_za,147
WC053,Beaufort West,21917,52844,map_subdistricts_za,148
